provider_name,scheme_name,account_type,option_name,option_type,management_fee_pct,indirect_cost_ratio,performance_fee,transactional_cost,risk_label,risk_band,performance_1yr,performance_3yr,performance_5yr,performance_10yr,asset_allocation_json,source_url,scraped_at
HUB24,HUB24 Invest - CORE Menu,Wrap,AV Core Satellite Balanced Portfolio,Multi Sector Balanced,0.206,0.277,0.003,0.035,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,AV Core Satellite Growth Portfolio,Multi Sector Growth,0.206,0.289,0.004,0.035,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,AV Core Satellite High Growth Portfolio,Multi Sector High Growth,0.206,0.305,0.004,0.036,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,AV Core Satellite Moderate Portfolio,Multi Sector Moderately Conservative,0.206,0.295,0.002,0.033,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Bellmont Diversified - Balanced Portfolio,Multi Sector Balanced,0.273,0.672,0.213,0.098,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Bellmont Diversified - Conservative Portfolio,Multi Sector Conservative,0.287,0.528,0.039,0.024,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Bellmont Diversified - Growth Portfolio,Multi Sector Growth,0.267,0.71,0.26,0.116,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Bellmont Diversified - High Growth Portfolio,Multi Sector High Growth,0.26,0.757,0.316,0.14,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Bellmont Diversified - Moderate Portfolio,Multi Sector Moderately Conservative,0.283,0.589,0.12,0.058,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Australian Sustainability Leaders Portfolio,Australian Large Cap,0.605,0.015,,0.146,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Dynamic All Growth ETF Portfolio,Multi Sector High Growth,0.195,0.178,,0.033,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Dynamic Balanced ETF Portfolio,Multi Sector Balanced,0.195,0.182,,0.051,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Dynamic Conservative ETF Portfolio,Multi Sector Conservative,0.195,0.204,,0.03,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Dynamic Growth ETF Portfolio,Multi Sector Growth,0.195,0.171,,0.065,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Dynamic High Growth ETF Portfolio,Multi Sector High Growth,0.195,0.154,,0.075,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Dynamic Moderate ETF Portfolio,Multi Sector Moderately Conservative,0.195,0.191,,0.041,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Ethical Diversified Balanced Portfolio,Multi Sector Balanced,0.144,0.501,,0.094,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Ethical Diversified Growth Portfolio,Multi Sector Growth,0.144,0.545,,0.077,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Ethical Diversified High Growth Portfolio,Multi Sector High Growth,0.144,0.589,,0.059,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Strategic Balanced ETF Managed Portfolio,Multi Sector Balanced,0.144,0.177,,0.041,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Strategic Conservative ETF Managed Portfolio,Multi Sector Conservative,0.144,0.195,,0.019,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Strategic Growth ETF Managed Portfolio,Multi Sector Growth,0.144,0.167,,0.054,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Strategic High Growth ETF Managed Portfolio,Multi Sector High Growth,0.144,0.156,,0.067,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Betashares Strategic Moderate ETF Managed Portfolio,Multi Sector Moderately Conservative,0.144,0.184,,0.038,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,BlackRock Active Multi-Asset Aggressive Portfolio,Multi Sector High Growth,0.164,0.526,0.053,0.28,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,BlackRock Active Multi-Asset Balanced Portfolio,Multi Sector Balanced,0.164,0.45,0.035,0.289,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,BlackRock Active Multi-Asset Growth Portfolio,Multi Sector Growth,0.164,0.518,0.044,0.301,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Dimensional Core 100/0 Wealth Model Portfolio,Multi Sector High Growth,0.164,0.354,,0.027,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Dimensional Core 50/50 Wealth Model Portfolio,Multi Sector Balanced,0.164,0.329,,0.028,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
